domain,term,normalized_type,normalized_code,normalized_name,confidence,requires_confirmation,notes
budget_keyword,费用,builtin_budget_term,kw_expense,费用,0.95,false,intent_router_seed
budget_keyword,利润,builtin_budget_term,kw_profit,利润,0.95,false,intent_router_seed
budget_keyword,拨备,builtin_budget_term,kw_provision,拨备,0.95,false,intent_router_seed
budget_keyword,净息差,builtin_budget_term,kw_nim_cn,净息差,0.98,false,intent_router_seed
budget_keyword,NIM,builtin_budget_term,kw_nim_en,净息差,0.98,false,intent_router_seed
budget_keyword,ROE,builtin_budget_term,kw_roe,净资产收益率,0.98,false,intent_router_seed
budget_keyword,部门,builtin_budget_term,kw_department,部门,0.95,false,intent_router_seed
budget_keyword,产品,builtin_budget_term,kw_product,产品,0.95,false,intent_router_seed
budget_keyword,科目,builtin_budget_term,kw_subject,科目,0.98,false,intent_router_seed
budget_keyword,贷款,builtin_budget_term,kw_loan,贷款,0.98,false,intent_router_seed
budget_keyword,存款,builtin_budget_term,kw_deposit,存款,0.98,false,intent_router_seed
budget_keyword,资产,builtin_budget_term,kw_asset,资产,0.95,false,intent_router_seed
budget_keyword,负债,builtin_budget_term,kw_liability,负债,0.95,false,intent_router_seed
budget_keyword,月度,builtin_budget_term,kw_monthly,月度,0.95,false,intent_router_seed
budget_keyword,季度,builtin_budget_term,kw_quarterly,季度,0.95,false,intent_router_seed
budget_keyword,年度,builtin_budget_term,kw_yearly,年度,0.95,false,intent_router_seed
budget_keyword,同比,builtin_budget_term,kw_yoy,同比,0.98,false,intent_router_seed
budget_keyword,环比,builtin_budget_term,kw_mom,环比,0.98,false,intent_router_seed
budget_keyword,趋势,builtin_budget_term,kw_trend,趋势,0.95,false,intent_router_seed
budget_keyword,报表,builtin_budget_term,kw_report,报表,0.95,false,intent_router_seed
budget_keyword,明细,builtin_budget_term,kw_detail,明细,0.95,false,intent_router_seed
budget_keyword,汇总,builtin_budget_term,kw_summary,汇总,0.95,false,intent_router_seed
budget_keyword,分析,builtin_budget_term,kw_analysis,分析,0.95,false,intent_router_seed
budget_keyword,图表,builtin_budget_term,kw_chart,图表,0.95,false,intent_router_seed
budget_keyword,测算,builtin_budget_term,kw_calculation,测算,0.95,false,intent_router_seed
budget_keyword,预测,builtin_budget_term,kw_forecast,预测,0.95,false,intent_router_seed
budget_keyword,模拟,builtin_budget_term,kw_simulation,模拟,0.95,false,intent_router_seed
budget_keyword,目标求解,builtin_budget_term,kw_goal_seek,目标求解,0.95,false,intent_router_seed
budget_keyword,滚动预算,builtin_budget_term,kw_rolling_budget,滚动预算,0.98,false,intent_router_seed
budget_keyword,版本,builtin_budget_term,kw_version,版本,0.95,false,intent_router_seed
budget_keyword,导出,builtin_budget_term,kw_export,导出,0.95,false,intent_router_seed
budget_keyword,查询,builtin_budget_term,kw_query,查询,0.95,false,intent_router_seed
budget_keyword,展示,builtin_budget_term,kw_display,展示,0.95,false,intent_router_seed
budget_keyword,对比,builtin_budget_term,kw_compare,对比,0.95,false,intent_router_seed
