entity_type,entity_code,entity_name,source_table,parent_code,level,value_type,description,status,last_verified_at
report_account,X11,付息负债付息率,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X50,HR相关数据,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X90,备查数据信息,report_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y1,个人金融部,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y10,泛开鑫贷,dept_account,Y1,2,,,active,2026-04-12T02:24:54Z
dept_account,Y100,开鑫贷单品,dept_account,Y10,3,,,active,2026-04-12T02:24:54Z
dept_account,Y101,开户贷,dept_account,Y10,3,,,active,2026-04-12T02:24:54Z
dept_account,Y11,开心账户,dept_account,Y1,2,,,active,2026-04-12T02:24:54Z
dept_account,Y110,开心账户存款,dept_account,Y11,3,,,active,2026-04-12T02:24:54Z
dept_account,Y111,开心账户理财,dept_account,Y11,3,,,active,2026-04-12T02:24:54Z
dept_account,Y2,企业金融部,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y20,小微业务团队,dept_account,Y2,2,,,active,2026-04-12T02:24:54Z
dept_account,Y3,普惠金融部,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y4,科技事业部,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y5,境外金融部,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y6,司库部门,dept_account,,1,,,active,2026-04-12T02:24:54Z
dept_account,Y7,其他部门,dept_account,,1,,,active,2026-04-12T02:24:54Z
product_type,Z0001,个人住房贷款,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z0002,企业流动资金贷款,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z0003,结构性存款,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z0004,理财产品A,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z0005,汽车消费贷款,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z0017,零售存款,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z1001,一般司库,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z2001,其他小小产品,product_type,,,,,active,2026-04-12T02:24:54Z
product_type,Z9000,司库对业务内部资产负债,product_type,,,,,active,2026-04-12T02:24:54Z
